"DairyName","BusinessEntity_ID","BusinessEntity_ID_Flag","Physical_Address","Municipality","State","ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Municipal_WaterProvider_OWF_ID","Municipal_WaterProvider_OWF_ID_Flag","Latitude","Longitude","Lat_Long_Flag","WaterSource_GNIS_Name","WaterSource_GNIS_Name_Flag","WaterSource_GNIS_ID","WaterSource_GNIS_ID_Flag","Formation_Date","Formation_Date_Flag","Dissolution_Date","Dissolution_Date_Flag","Website","Website_Flag"
2006 Quail Ridge Dairy,20061105248,G,15960 Road 21,Fort Morgan,CO,80701,44006,G,,x,40.232142,-103.754295,g1,,x,,x,2006-03-10,G,,N,,x
3KS Dairy,20181048330,G,3924 36th Lane,Avondale,CO,81022,,N,,x,38.140848,-104.455746,g1,,x,,x,2018-01-19,G,,N,,x
4D Dairy,20091446697,G,4513 Weld County Road 32,Longmont,CO,80504,64205,G,,x,40.218628,-105.004764,g1,,x,,x,2009-08-21,G,2012-06-19,G,,x
A and A Dairy,19981224366,G,6228 N CTY RD 13,Loveland,CO,80538,35026,G,,x,40.454850,-105.053692,g1,,x,,x,1998-12-17,G,,N,,x
A Divine Dairy and Grill,19931075098,G,720 ARAPAHOE ST,Golden,CO,80401,30035,G,,x,39.758655,-105.226447,g1,,x,,x,1993-07-22,G,1999-06-30,G,,x
AJC Dairy,20121122329,G,23000 St. Charles Rd,Pueblo,CO,81006,51016,G,,x,38.203736,-104.550094,g1,,x,,x,2012-02-26,G,2012-09-04,G,,x
Ash Lane Dairy,19961104929,G,4320 65 th Ave,Greeley,CO,80634,62022,G,,x,40.366902,-104.779788,g1,,x,,x,1996-08-09,G,,N,,x
Aurora Dairy - Georgia,20001129535,G,2595 Canyon Blvd.,Boulder,CO,80302,07006,G,,x,40.017887,-105.260908,g1,,x,,x,2000-06-29,G,,N,,x
Aurora Dairy - Texas,20001103238,G,1401 Walnut Street,Boulder,CO,80302,07006,G,,x,40.017704,-105.276806,g1,,x,,x,2000-05-22,G,2005-07-07,G,,x
Avalanche Farm and Dairy,20081661199,G,1280 Ute Avenue,Aspen,CO,81611,49006,G,,x,39.181966,-106.810791,g1,,x,,x,2008-12-23,G,,N,,x
Bearson Dairy,19961164290,G,9208 WCR 25,Fort Lupton,CO,80621,62014,G,,x,40.036713,-104.753806,g1,,x,,x,1996-12-18,G,,N,,x
Becksted Dairy,19871596755,G,3508 East County Rd 68,Wellington,CO,80549,35047,G,,x,40.740907,-105.011306,g1,,x,,x,1984-12-03,G,,N,,x
Bella Daisy Dairy,20111006067,G,3393 Orchard Drive,Laporte,CO,80535,,N,,x,40.627936,-105.138798,g1,,x,,x,2011-01-04,G,,N,,x
Bernhardt Dairy Farm,19911025501,G,12281 COLO ST HWY 60,Milliken,CO,80543,62043,G,,x,40.332144,-104.823714,g1,,x,,x,1991-04-12,G,,N,,x
Bijou Hill Dairy,19991157909,G,2020 BRADBURY KREBS RD,Byers,CO,80103,,N,,x,39.680911,-104.247124,g1,,x,,x,1999-08-23,G,,N,,x
Blue Sky Dairy,20111448498,G,1441 Weld County Road 28,Longmont,CO,80504,64205,G,,x,40.190975,-105.028160,g1,,x,,x,2011-08-05,G,,N,,x
